city_code,city,district_code,district_short,district,queries
505927,Opava,555355,Komárov,Komárov,komárov
505927,Opava,555339,Malé Hoštice,Malé Hoštice,malé hoštice|hoštice
505927,Opava,555436,Milostovice,Milostovice,milostovice
505927,Opava,555321,Opava (nečl.část města),Opava (nečleněná část města),opava|město
505927,Opava,555401,Podvihov,Podvihov,podvihov
505927,Opava,555371,Suché Lazce,Suché Lazce,suché lazce|lazce
505927,Opava,556700,Vávrovice,Vávrovice,vávrovice
505927,Opava,555461,Vlaštovičky,Vlaštovičky,vlaštovičky
505927,Opava,555410,Zlatníky,Zlatníky,zlatníky
554782,Praha,500054,Praha 1,Praha 1,praha 1
554782,Praha,500224,Praha 10,Praha 10,praha 10
554782,Praha,547034,Praha 11,Praha 11,praha 11
554782,Praha,547107,Praha 12,Praha 12,praha 12
554782,Praha,539694,Praha 13,Praha 13,praha 13
554782,Praha,547361,Praha 14,Praha 14,praha 14
554782,Praha,547387,Praha 15,Praha 15,praha 15
554782,Praha,539601,Praha 16,Praha 16,praha 16
554782,Praha,547174,Praha 17,Praha 17,praha 17
554782,Praha,547417,Praha 18,Praha 18,praha 18
554782,Praha,547344,Praha 19,Praha 19,praha 19
554782,Praha,500089,Praha 2,Praha 2,praha 2
554782,Praha,538213,Praha 20,Praha 20,praha 20
554782,Praha,538949,Praha 21,Praha 21,praha 21
554782,Praha,538931,Praha 22,Praha 22,praha 22
554782,Praha,500097,Praha 3,Praha 3,praha 3
554782,Praha,500119,Praha 4,Praha 4,praha 4
554782,Praha,500143,Praha 5,Praha 5,praha 5
554782,Praha,500178,Praha 6,Praha 6,praha 6
554782,Praha,500186,Praha 7,Praha 7,praha 7
554782,Praha,500208,Praha 8,Praha 8,praha 8
554782,Praha,500216,Praha 9,Praha 9,praha 9
554782,Praha,538060,Praha-Běchovice,Praha-Běchovice,praha-běchovice|běchovice
554782,Praha,538078,Praha-Benice,Praha-Benice,praha-benice|benice
554782,Praha,538124,Praha-Březiněves,Praha-Březiněves,praha-březiněves|březiněves
554782,Praha,547310,Praha-Čakovice,Praha-Čakovice,praha-čakovice|čakovice
554782,Praha,547298,Praha-Ďáblice,Praha-Ďáblice,praha-ďáblice|ďáblice
554782,Praha,547301,Praha-Dolní Chabry,Praha-Dolní Chabry,praha-dolní chabry|dolní chabry|chabry
554782,Praha,547379,Praha-Dol. Měcholupy,Praha-Dolní Měcholupy,praha-dolní měcholupy|dolní měcholupy|měcholupy
554782,Praha,538175,Praha-Dolní Počernice,Praha-Dolní Počernice,praha-dolní počernice|dolní počernice|počernice
554782,Praha,538205,Praha-Dubeč,Praha-Dubeč,praha-dubeč|dubeč
554782,Praha,538302,Praha-Klánovice,Praha-Klánovice,praha-klánovice|klánovice
554782,Praha,538353,Praha-Koloděje,Praha-Koloděje,praha-koloděje|koloděje
554782,Praha,538361,Praha-Kolovraty,Praha-Kolovraty,praha-kolovraty|kolovraty
554782,Praha,538388,Praha-Královice,Praha-Královice,praha-královice|královice
554782,Praha,538400,Praha-Křeslice,Praha-Křeslice,praha-křeslice|křeslice
554782,Praha,547042,Praha-Kunratice,Praha-Kunratice,praha-kunratice|kunratice
554782,Praha,547051,Praha-Libuš,Praha-Libuš,praha-libuš|libuš
554782,Praha,539449,Praha-Lipence,Praha-Lipence,praha-lipence|lipence
554782,Praha,539465,Praha-Lochkov,Praha-Lochkov,praha-lochkov|lochkov
554782,Praha,547140,Praha-Lysolaje,Praha-Lysolaje,praha-lysolaje|lysolaje
554782,Praha,547158,Praha-Nebušice,Praha-Nebušice,praha-nebušice|nebušice
554782,Praha,538531,Praha-Nedvězí,Praha-Nedvězí,praha-nedvězí|nedvězí
554782,Praha,547395,Praha-Petrovice,Praha-Petrovice,praha-petrovice|petrovice
554782,Praha,539589,Praha-Přední Kopanina,Praha-Přední Kopanina,praha-přední kopanina|přední kopanina|kopanina
554782,Praha,539635,Praha-Řeporyje,Praha-Řeporyje,praha-řeporyje|řeporyje
554782,Praha,538736,Praha-Satalice,Praha-Satalice,praha-satalice|satalice
554782,Praha,539678,Praha-Slivenec,Praha-Slivenec,praha-slivenec|slivenec
554782,Praha,547271,Praha-Suchdol,Praha-Suchdol,praha-suchdol|suchdol
554782,Praha,539724,Praha-Šeberov,Praha-Šeberov,praha-šeberov|šeberov
554782,Praha,547409,Praha-Štěrboholy,Praha-Štěrboholy,praha-štěrboholy|štěrboholy
554782,Praha,547328,Praha-Troja,Praha-Troja,praha-troja|troja
554782,Praha,539791,Praha-Újezd,Praha-Újezd,praha-újezd|újezd
554782,Praha,547115,Praha-Velká Chuchle,Praha-Velká Chuchle,praha-velká chuchle|chuchle
554782,Praha,539007,Praha-Vinoř,Praha-Vinoř,praha-vinoř|vinoř
554782,Praha,539864,Praha-Zbraslav,Praha-Zbraslav,praha-zbraslav|zbraslav
